Symbol,Name,Type,Date,Shares,Price,Cash value,Commission,Notes
PNL.AS,PostNL NV,BUY,"Feb 5, 2015",275,3.38,,0,
PNL.AS,PostNL NV,SELL,"May 7, 2015",275,4.3464,,0,
PNL.AS,PostNL NV,Buy,"Mar 15, 2018",350,3.157,,0,
STLO.ST,Statoil,Buy,"Feb 4, 2015",61,137.1,,0,
AIR.PA,Airbus SE,Buy,"Dec 16, 2014",23,40.46,-930.58,0,
AIR.PA,Airbus SE,Sell,"May 27, 2015",-23,64.9326,1493.44,0,
AIR.PA,Airbus SE,Buy,"Aug 21, 2015",16,58.2,,8.51,
AIR.PA,Airbus SE,Buy,"May 15, 2018",14,96.63,,0,
RAL.PA,Rallye SA,Buy,"Dec 9, 2014",35,28.85,,0,
ILF,iShares S&P Latin America 40 Index (ETF),Buy,"Mar 3, 2015",40,31.59,,0,
EVS.BR,EVS Broadcast Equipment SA,Buy,"Jan 13, 2015",37,26.45,-978.65,0,
EVS.BR,EVS Broadcast Equipment SA,Sell,"Sep 6, 2016",-37,32.48,1191.77,9.99,
MT.AS,ArcelorMittal SA,Buy,"May 23, 2017",43.22,20.2,,0,
PFV.DE,Pfeiffer Vacuum Technology AG,Buy,"Mar 9, 2015",10,78.87,-788.70,0,
PFV.DE,Pfeiffer Vacuum Technology AG,Sell,"Oct 2, 2015",-10,103.11,1013.82,17.28,
FXI,iShares FTSE/Xinhua China 25 Index (ETF),Buy,"Mar 10, 2015",28,42.12,,0,
CGG.PA,CGG SA,Buy,"Mar 12, 2015",110,5.88,-646.80,0,
CGG.PA,CGG SA,Buy,"Aug 4, 2015",100,4.25,-433.00,8,
CGG.PA,CGG SA,Sell,"Jan 19, 2016",-210,0.86,174.11,6.49,
CGG.PA,CGG SA,Buy,"Feb 9, 2016",630,0.66,-415.80,0,
CGG.PA,CGG SA,Sell,"Feb 9, 2016",630,0.66,-415.80,0,
CGG.PA,CGG SA,Buy,"Feb 9, 2016",19.6875,21.12,-415.80,0,split 1-32
CGG.PA,CGG SA,Sell,"Dec 23, 2016",19.6875,13.61,257.49,10.45,
ABLX.BR,Ablynx NV,Buy,"Mar 17, 2015",85,9.4,-799.00,0,
ABLX.BR,Ablynx NV,Sell,"Jul 16, 2015",-85,12.685,1069.31,8.91,
ABLX.BR,Ablynx NV,Buy,"Feb 9, 2016",80,10.29,-831.70,8.5,
ABLX.BR,Ablynx NV,Buy,"Feb 9, 2016",10,0,,0,
ABLX.BR,Ablynx NV,Buy,"Oct 20, 2016",90,9.47,-861.35,9.05,
ABLX.BR,Ablynx NV,Sell,"Oct 2, 2017",-80,15.405,1222.32,10.08,
ABLX.BR,Ablynx NV,Sell,"Oct 26, 2017",-100,17.92,1782.00,10,
BEKB.BR,NV Bekaert SA,Buy,"Apr 7, 2015",36,25.428,-915.40,0,
BEKB.BR,NV Bekaert SA,Sell,"Apr 21, 2016",-36,38.64,1380.53,10.51,
BEKB.BR,NV Bekaert SA,Buy,"Aug 8, 2017",25,40.88,,2.76,
BEKB.BR,NV Bekaert SA,Buy,"Aug 11, 2017",30,40.12,,3.25,
BEKB.BR,NV Bekaert SA,Buy,"Nov 27, 2017",20,35.91,-718.20,0,
BEKB.BR,NV Bekaert SA,Sell,"Feb 28, 2018",-20,39.338,786.76,0,
BEKB.BR,NV Bekaert SA,Buy,"Mar 28, 2018",30,34.545,,0,
TUB.BR,Financiere de Tubize SA,Buy,"Apr 17, 2015",15,57.153,,0,
TUB.BR,Financiere de Tubize SA,Buy,"Sep 12, 2017",16,59,,2.55,
BAR.BR,Barco NV,Buy,"Apr 20, 2015",16,56.535,-904.56,0,
BAR.BR,Barco NV,Sell,"Dec 29, 2016",-16,80,1269.79,10.21,
SCIF,Market Vectors India Small Cap Index ETF,Buy,"Apr 24, 2015",25,47.27,,0,
SAZ.DE,STADA Arzneimittel AG,Buy,"Apr 29, 2015",22,33.999,-747.97,0,
SAZ.DE,STADA Arzneimittel AG,Sell,"May 25, 2016",-22,46.6,1002.68,22.52,
CDA.PA,Compagnie des Alpes SA,Buy,"May 5, 2015",50,16.9854,-849.27,0,
CDA.PA,Compagnie des Alpes SA,Sell,"May 12, 2017",-40,24.7,984.67,3.33,
CDA.PA,Compagnie des Alpes SA,Sell,"May 12, 2017",-10,24.51,245.10,0,
CDA.PA,Compagnie des Alpes SA,Buy,"May 8, 2018",40,30.20,,0,
IMMO.BR,Compagnie Immobiliere de Belgique SA,Buy,"May 7, 2015",19,50.75158,-964.28,0,
IMMO.BR,Compagnie Immobiliere de Belgique SA,Sell,"May 19, 2015",-19,51.52368,978.94,0,
SQM,Sociedad Quimica y Minera de Chile (ADR),Buy,"Feb 17, 2015",44,25.963,-1142.37,0,
SQM,Sociedad Quimica y Minera de Chile (ADR),Sell,"Mar 23, 2015",-44,15.91356,700.19,0,
NN.AS,NN Group NV,Buy,"May 27, 2015",35,26.1314,,0,
NN.AS,NN Group NV,Buy,"Sep 13, 2017",18,33.88,,1.65,
GSK.L,GlaxoSmithKline plc,Buy,"Jun 4, 2015",52,1441,,0,
GSK.L,GlaxoSmithKline plc,Buy,"Sep 8, 2017",70,1495,,40,
GSK.L,GlaxoSmithKline plc,Buy,"Nov 7, 2017",70,1366.71,,0,
GSK.L,GlaxoSmithKline plc,Buy,"Mar 26, 2018",90,1337,,0,
ADS.DE,adidas AG,Buy,"Jun 5, 2015",14,71.455,-1000.37,0,
ADS.DE,adidas AG,Sell,"Jan 29, 2016",-14,94.74,1308.28,18.08,
PUM.DE,Puma AG Rudolf Dassler Sport,Buy,"Jun 10, 2015",7,146.07,-1022.49,0,
PUM.DE,Puma AG Rudolf Dassler Sport,Sell,"Sep 3, 2015",-7,182,1256.06,17.94,
PUM.DE,Puma AG Rudolf Dassler Sport,Buy,"Jan 12, 2018",4,319.0425,,0,
PUM.DE,Puma AG Rudolf Dassler Sport,Sell,"May 5, 2018",4,412.1075,,0,
SIP.BR,SIPEF NV,Buy,"Jun 9, 2015",18,49.4478,,0,
SIP.BR,SIPEF NV,Buy,"May 24, 2017",2,54.65,-109.30,0,
LHN.VX,Lafargeholcim Ltd,Buy,"Jul 14, 2015",13,70.68,,0,
CYAD.BR,Celyad SA,Buy,"Aug 21, 2015",18,46.11,-838.22,8.24,
CYAD.BR,Celyad SA,Buy,"Oct 16, 2015",14,33.41,-475.00,7.26,
CYAD.BR,Celyad SA,Sell,"Sep 8, 2017",-32,43.46,1386.97,3.75,
CYAD.BR,Celyad SA,Buy,"Nov 14, 2017",23,40.46,,0,
BEFB.BR,Befimmo SA,Buy,"Aug 24, 2015",16,53.6,,6.77,
RDSA.AS,Royal Dutch Shell Plc,Buy,"Aug 26, 2015",45,21.6,,8.62,
RDSA.AS,Royal Dutch Shell Plc,Buy,"Feb 21, 2018",40,25.75,,15,
UMI.BR,Umicore SA,Buy,"Sep 4, 2015",28,35.92,,8.72,
UMI.BR,Umicore SA,Buy,"Feb 8, 2016",17,33.7,,7.55,
UMI.BR,Umicore SA,Sell,"Aug 29, 2016",-22,53.5,,9.93,
UMI.BR,Umicore SA,Buy,"Oct 23, 2017",23,0,,0,
SOLB.BR,Solvay SA,Buy,"Sep 17, 2015",10,100.55,-1014.21,8.71,
SOLB.BR,Solvay SA,Buy,"Sep 24, 2015",6,92.2,,7.49,
SOLB.BR,Solvay SA,Buy,"Dec 22, 2015",4,70.83,,0,AK
